team,elo_rank,elo_rating,total_matches,win_rate,avg_goals_scored,avg_goals_conceded,recent_form_score,recent_form_points
Rhodes,103,1591.33,18,0.611,1.61,1.06,70.0,21
Suriname,104,1590.62,399,0.434,1.88,1.42,33.3,10
Panjab,105,1590.54,19,0.474,2.84,1.58,46.7,14
Angola,106,1588.82,415,0.34,1.13,1.03,46.7,14
Palestine,107,1587.37,249,0.297,1.33,1.39,30.0,9
Belarus,108,1582.73,315,0.298,1.15,1.47,40.0,12
Réunion,109,1582.66,124,0.427,1.77,1.77,60.0,18
Tamil Eelam,110,1581.15,28,0.571,2.57,2.18,80.0,24
Guinea,111,1578.14,539,0.371,1.35,1.22,43.3,13
Chameria,112,1575.3,7,0.429,2.0,1.14,52.4,11
Oman,113,1573.12,543,0.379,1.29,1.26,33.3,10
Kurdistan,114,1566.85,5,0.8,2.4,0.4,86.7,13
Artsakh,115,1566.8,11,0.545,2.91,1.27,63.3,19
Qatar,116,1565.25,635,0.409,1.41,1.21,23.3,7
Menorca,117,1564.24,25,0.44,2.24,1.28,46.7,14
Zanzibar,118,1556.44,209,0.211,0.91,2.09,66.7,20
Arameans Suryoye,119,1556.04,10,0.5,1.6,1.2,56.7,17
Corsica,120,1555.64,9,0.444,1.11,0.56,59.3,16
Ellan Vannin,121,1554.18,22,0.5,2.45,1.45,50.0,15
Yorkshire,122,1552.77,7,0.714,3.86,1.57,76.2,16
China,123,1552.14,702,0.483,1.83,1.09,36.7,11
Zambia,124,1550.06,793,0.451,1.56,1.07,16.7,5
Quebec,125,1546.2,3,0.667,8.0,0.67,66.7,6
Cascadia,126,1544.56,7,0.571,3.29,2.0,61.9,13
Bahrain,127,1540.36,584,0.354,1.24,1.29,23.3,7
Benin,128,1539.28,325,0.258,1.08,1.73,33.3,10
Gambia,129,1539.02,266,0.274,1.05,1.39,46.7,14
Trinidad and Tobago,130,1537.01,753,0.426,1.68,1.34,23.3,7
Bulgaria,131,1535.92,736,0.356,1.38,1.5,33.3,10
Thailand,132,1533.78,865,0.392,1.61,1.48,66.7,20
Libya,133,1530.41,384,0.372,1.3,1.21,50.0,15
Galicia,134,1529.93,12,0.417,1.75,1.92,40.0,12
Maule Sur,135,1528.35,2,1.0,1.0,0.0,100.0,6
Western Armenia,136,1526.35,16,0.312,2.12,1.25,46.7,14
Gabon,137,1521.57,405,0.348,1.18,1.2,36.7,11
Asturias,138,1520.53,1,1.0,3.0,1.0,100.0,3
Guadeloupe,139,1518.35,271,0.424,1.71,1.44,53.3,16
Surrey,140,1516.17,1,1.0,3.0,1.0,100.0,3
Montenegro,141,1515.4,170,0.341,1.18,1.37,43.3,13
Biafra,142,1515.11,3,0.667,0.67,0.33,66.7,6
Canary Islands,143,1514.88,4,0.75,2.75,0.75,75.0,9
Tahiti,144,1514.53,242,0.541,2.71,1.53,53.3,16
Felvidék,145,1514.38,12,0.417,1.17,1.67,46.7,14
Parishes of Jersey,146,1513.73,3,0.667,3.67,1.33,66.7,6
Elba Island,147,1513.18,2,1.0,4.5,1.0,100.0,6
Uganda,148,1512.98,685,0.416,1.5,1.18,46.7,14
Donetsk PR,149,1512.04,6,0.333,1.33,1.17,44.4,8
Madagascar,150,1509.99,320,0.369,1.36,1.51,53.3,16
Mapuche,151,1508.47,2,0.5,1.5,1.0,50.0,3
Silesia,152,1506.43,8,0.375,3.0,2.12,45.8,11
United Koreans in Japan,153,1506.25,12,0.25,1.67,0.92,40.0,12
Crimea,154,1504.82,5,0.6,1.4,2.2,60.0,9
Kazakhstan,155,1504.78,269,0.264,1.15,1.65,40.0,12
Brittany,156,1504.2,12,0.5,1.5,1.25,50.0,15
Nicaragua,157,1503.67,222,0.23,1.05,2.41,16.7,5
Indonesia,158,1503.29,728,0.387,1.67,1.62,53.3,16
Shetland,159,1500.9,58,0.362,1.74,1.95,36.7,11
Niger,160,1498.42,260,0.235,0.98,1.63,40.0,12
Délvidék,161,1498.37,2,0.5,2.0,1.5,50.0,3
Togo,162,1495.57,447,0.315,1.1,1.39,43.3,13
Central Spain,163,1495.32,2,0.5,1.0,2.0,50.0,3
Mozambique,164,1494.36,375,0.315,1.03,1.29,33.3,10
El Salvador,165,1493.72,614,0.326,1.25,1.52,26.7,8
Saugeais,166,1493.5,1,0.0,1.0,1.0,33.3,1
North Korea,167,1492.44,390,0.415,1.61,1.12,13.3,4
South Ossetia,168,1491.83,17,0.294,2.06,2.18,46.7,14
Cilento,169,1491.33,1,0.0,0.0,2.0,0.0,0
Guyana,170,1490.77,313,0.329,1.37,1.76,80.0,24
Luhansk PR,171,1490.44,6,0.333,1.5,2.0,38.9,7
Madrid,172,1489.47,1,0.0,1.0,2.0,0.0,0
North Vietnam,173,1488.13,24,0.292,2.04,2.17,50.0,15
Matabeleland,174,1486.59,8,0.375,0.88,1.75,45.8,11
Seborga,175,1486.41,1,0.0,2.0,3.0,0.0,0
Comoros,176,1485.65,151,0.238,0.89,1.62,23.3,7
Yoruba Nation,177,1483.73,2,0.0,0.5,1.0,16.7,1
Sealand,178,1483.03,12,0.333,2.25,2.5,53.3,16
Malaysia,179,1481.43,835,0.392,1.63,1.45,76.7,23
Republic of St. Pauli,180,1480.81,4,0.25,2.5,1.25,33.3,4
Martinique,181,1478.34,331,0.438,1.77,1.3,23.3,7
Zimbabwe,182,1475.52,496,0.383,1.33,1.19,36.7,11
Sudan,183,1474.98,469,0.322,1.08,1.35,23.3,7
Somaliland,184,1474.91,6,0.333,2.33,3.33,38.9,7
Ryūkyū,185,1474.87,1,0.0,0.0,9.0,0.0,0
Dominican Republic,186,1474.84,159,0.39,1.67,1.6,23.3,7
Kuwait,187,1474.27,684,0.417,1.56,1.13,33.3,10
West Papua,188,1473.57,2,0.0,1.5,4.5,16.7,1
Åland Islands,189,1473.38,51,0.412,1.51,1.69,33.3,10
Sápmi,190,1472.94,29,0.414,3.1,1.86,30.0,9
Székely Land,191,1472.11,27,0.333,2.07,2.07,36.7,11
Kenya,192,1471.88,706,0.38,1.39,1.36,50.0,15
Franconia,193,1471.21,3,0.667,2.67,3.67,66.7,6
Sierra Leone,194,1470.27,301,0.302,0.96,1.38,46.7,14
Romani people,195,1469.82,7,0.286,1.86,3.71,28.6,6
South Yemen,196,1468.8,3,0.0,0.33,2.67,0.0,0
Vietnam,197,1468.01,297,0.431,1.65,1.37,90.0,27
Greenland,198,1465.34,77,0.325,1.88,2.06,50.0,15
Aymara,199,1463.18,2,0.0,0.5,2.0,0.0,0
Provence,200,1461.12,23,0.348,3.17,2.57,40.0,12
Hmong,201,1460.06,3,0.333,2.0,3.33,33.3,3
Luxembourg,202,1457.24,467,0.107,0.63,2.58,13.3,4
Papua New Guinea,203,1456.89,155,0.335,2.17,2.01,60.0,18
Kabylia,204,1456.67,6,0.167,1.33,2.5,27.8,5
Mayotte,205,1454.96,38,0.289,1.34,1.47,56.7,17
East Turkestan,206,1453.7,5,0.4,3.0,3.2,40.0,6
Kyrgyzstan,207,1452.0,191,0.298,1.15,1.68,23.3,7
Chechnya,208,1451.28,3,0.0,1.0,9.67,11.1,1
Rwanda,209,1447.8,280,0.314,1.03,1.2,33.3,10
Saarland,210,1446.55,9,0.111,1.11,2.89,18.5,5
Mauritania,211,1444.4,273,0.19,0.73,1.59,33.3,10
Vanuatu,212,1444.24,214,0.322,1.88,2.15,46.7,14
Equatorial Guinea,213,1444.18,179,0.274,0.87,1.46,16.7,5
Gotland,214,1444.12,30,0.367,2.7,1.9,30.0,9
Lebanon,215,1441.25,333,0.279,1.16,1.41,60.0,18
Faroe Islands,216,1439.81,287,0.199,0.84,2.24,70.0,21
Malawi,217,1437.62,644,0.34,1.17,1.29,40.0,12
Liberia,218,1436.98,302,0.262,0.89,1.47,40.0,12
Tajikistan,219,1436.74,201,0.388,1.49,1.38,76.7,23
Monaco,220,1436.6,24,0.333,1.71,3.67,36.7,11
Western Isles,221,1433.87,34,0.382,1.5,2.26,33.3,10
Manchukuo,222,1430.35,3,0.0,0.0,5.33,0.0,0
Găgăuzia,223,1429.55,3,0.0,0.67,3.0,11.1,1
Niue,224,1427.23,2,0.0,0.0,16.5,0.0,0
Fiji,225,1426.66,268,0.433,2.27,1.64,20.0,6
Armenia,226,1426.33,272,0.239,1.01,1.83,20.0,6
Namibia,227,1423.21,279,0.251,0.98,1.42,26.7,8
Estonia,228,1422.07,550,0.247,0.99,1.77,40.0,12
Palau,229,1421.54,2,0.0,2.0,10.5,0.0,0
Gozo,230,1420.59,14,0.286,2.21,2.0,46.7,14
French Guiana,231,1420.44,179,0.302,1.49,1.71,36.7,11
Lesotho,232,1418.29,296,0.182,0.78,1.57,30.0,9
Tanzania,233,1417.89,599,0.272,1.1,1.49,16.7,5
Marshall Islands,234,1416.93,2,0.0,1.0,3.5,0.0,0
Cuba,235,1413.12,397,0.35,1.34,1.52,36.7,11
Saint Barthélemy,236,1412.63,10,0.4,2.5,3.0,43.3,13
Vatican City,237,1408.35,8,0.0,0.75,2.62,12.5,3
Ticino,238,1405.97,2,0.0,1.0,6.5,0.0,0
Orkney,239,1397.11,28,0.321,1.36,3.0,53.3,16
Western Sahara,240,1396.16,9,0.222,1.78,4.22,25.9,7
Western Australia,241,1395.4,32,0.344,1.97,2.34,36.7,11
Ethiopia,242,1392.21,409,0.352,1.34,1.45,43.3,13
Azerbaijan,243,1389.28,310,0.197,0.77,1.68,26.7,8
Burundi,244,1387.12,218,0.298,1.09,1.35,23.3,7
Botswana,245,1386.96,332,0.271,0.81,1.28,23.3,7
Turkmenistan,246,1386.26,175,0.366,1.51,1.52,53.3,16
Two Sicilies,247,1384.34,6,0.167,0.5,3.0,16.7,3
Raetia,248,1378.7,26,0.231,1.65,3.96,33.3,10
Solomon Islands,249,1373.19,214,0.421,2.16,1.97,20.0,6
Cyprus,250,1368.72,426,0.192,0.88,2.18,40.0,12
Central African Republic,251,1361.79,138,0.21,1.06,1.91,26.7,8
Guinea-Bissau,252,1360.85,190,0.274,0.99,1.47,16.7,5
Barawa,253,1359.41,12,0.25,1.33,3.83,30.0,9
Chagos Islands,254,1358.13,16,0.188,1.75,4.75,13.3,4
Yemen DPR,255,1354.15,25,0.2,1.0,2.76,20.0,6
Puerto Rico,256,1352.99,163,0.252,1.26,2.34,36.7,11
Saint Vincent and the Grenadines,257,1352.11,236,0.373,1.58,1.87,63.3,19
Malta,258,1347.99,458,0.142,0.65,2.24,36.7,11
Vietnam Republic,259,1347.01,195,0.421,1.87,1.6,26.7,8
Saint Helena,260,1344.31,8,0.0,0.75,5.12,0.0,0
Hitra,261,1343.27,23,0.261,1.61,4.0,43.3,13
Saare County,262,1340.86,35,0.143,1.17,2.54,36.7,11
Philippines,263,1339.55,342,0.272,1.21,2.28,83.3,25
Bermuda,264,1335.76,198,0.343,1.66,1.76,33.3,10
Lithuania,265,1331.9,433,0.256,1.0,1.82,20.0,6
Congo,266,1329.3,406,0.33,1.29,1.47,16.7,5
Latvia,267,1329.27,461,0.278,1.17,1.66,16.7,5
Micronesia,268,1328.97,7,0.143,1.14,8.43,14.3,3
Sark,269,1327.76,4,0.0,0.0,17.5,0.0,0
Moldova,270,1321.25,299,0.194,0.81,1.75,10.0,3
Eswatini,271,1315.92,274,0.201,0.84,1.66,16.7,5
Hong Kong,272,1312.38,447,0.32,1.45,1.64,50.0,15
Ambazonia,273,1312.13,6,0.0,0.5,2.83,5.6,1
Saint Martin,274,1310.04,68,0.368,1.49,2.46,50.0,15
Yemen,275,1306.04,266,0.199,0.97,2.17,60.0,18
Sint Maarten,276,1297.11,60,0.333,1.47,2.55,56.7,17
Wallis Islands and Futuna,277,1295.94,24,0.208,0.96,4.54,10.0,3
Singapore,278,1293.73,696,0.315,1.35,1.82,56.7,17
Saint Pierre and Miquelon,279,1287.67,7,0.0,0.29,11.14,0.0,0
Belize,280,1286.33,121,0.256,1.1,1.93,33.3,10
Grenada,281,1286.1,260,0.331,1.62,1.86,50.0,15
South Sudan,282,1270.21,78,0.154,0.64,1.82,20.0,6
Tibet,283,1266.68,21,0.048,1.43,5.76,6.7,2
Saint Kitts and Nevis,284,1263.41,226,0.398,1.71,1.65,43.3,13
Samoa,285,1251.23,71,0.31,1.39,3.51,40.0,12
Chad,286,1246.0,138,0.188,0.85,1.72,10.0,3
India,287,1236.5,534,0.356,1.37,1.61,10.0,3
Kiribati,288,1234.76,11,0.0,0.64,11.45,3.3,1
Montserrat,289,1228.89,66,0.258,1.09,2.95,20.0,6
Tuvalu,290,1220.78,39,0.205,1.15,5.33,23.3,7
Saint Lucia,291,1214.85,230,0.348,1.42,1.9,30.0,9
Falkland Islands,292,1214.39,33,0.182,0.94,3.67,3.3,1
Mauritius,293,1207.78,325,0.28,1.27,1.61,20.0,6
Aruba,294,1206.67,152,0.211,1.31,2.35,46.7,14
Darfur,295,1201.9,7,0.0,0.14,14.14,0.0,0
Eritrea,296,1197.56,71,0.155,0.68,1.7,3.3,1
Frøya,297,1194.28,37,0.189,1.62,3.95,13.3,4
São Tomé and Príncipe,298,1181.06,71,0.127,0.75,2.56,16.7,5
Afghanistan,299,1171.21,147,0.245,0.97,1.99,16.7,5
Dominica,300,1163.18,215,0.242,1.16,2.03,23.3,7
Cook Islands,301,1147.89,53,0.208,0.81,4.98,20.0,6
Andorra,302,1141.42,229,0.061,0.33,2.37,20.0,6
Myanmar,303,1135.22,512,0.41,1.6,1.65,46.7,14
Gibraltar,304,1135.16,160,0.25,1.13,2.48,30.0,9
Bangladesh,305,1131.58,305,0.262,0.9,1.82,43.3,13
Barbados,306,1121.51,302,0.311,1.3,1.75,20.0,6
Pakistan,307,1120.93,251,0.219,0.94,2.3,36.7,11
Bonaire,308,1115.42,44,0.318,1.43,2.48,20.0,6
Antigua and Barbuda,309,1102.95,231,0.307,1.32,1.83,6.7,2
Nepal,310,1102.72,268,0.235,0.85,2.25,30.0,9
Cambodia,311,1076.75,295,0.22,1.12,2.58,36.7,11
Alderney,312,1076.01,135,0.037,0.54,4.59,20.0,6
Djibouti,313,1074.87,111,0.063,0.67,3.61,6.7,2
Tonga,314,1073.6,68,0.235,1.19,3.72,20.0,6
Somalia,315,1060.19,124,0.089,0.5,2.66,16.7,5
Taiwan,316,1058.49,245,0.278,1.31,2.51,20.0,6
Cayman Islands,317,1029.13,120,0.208,0.98,2.45,23.3,7
British Virgin Islands,318,1021.98,123,0.179,0.93,2.94,46.7,14
Sri Lanka,319,1011.13,251,0.195,0.94,2.29,43.3,13
Seychelles,320,1010.51,176,0.148,0.77,2.26,0.0,0
Maldives,321,997.45,233,0.27,1.19,2.26,13.3,4
Mongolia,322,980.88,103,0.243,1.14,3.07,20.0,6
Guam,323,975.82,123,0.203,1.14,4.9,23.3,7
Turks and Caicos Islands,324,975.68,52,0.231,1.0,3.6,33.3,10
Liechtenstein,325,972.98,259,0.073,0.41,2.8,10.0,3
Northern Mariana Islands,326,969.49,30,0.133,0.9,4.3,26.7,8
United States Virgin Islands,327,965.23,78,0.128,0.69,3.78,33.3,10
Bahamas,328,944.18,67,0.209,1.12,3.18,13.3,4
Laos,329,938.02,224,0.188,1.01,3.13,16.7,5
American Samoa,330,932.18,55,0.073,0.6,6.49,3.3,1
San Marino,331,906.55,225,0.013,0.2,3.96,3.3,1
Timor-Leste,332,904.18,86,0.105,0.83,3.3,10.0,3
Anguilla,333,891.6,91,0.077,0.57,3.84,20.0,6
Brunei,334,890.22,137,0.161,0.78,3.28,23.3,7
Bhutan,335,859.54,110,0.1,0.55,3.65,13.3,4
Macau,336,838.67,148,0.142,0.77,3.09,3.3,1
